parcel_id,municipal_plot_id,cadastral_owner,municipal_owner,owner_similarity,relationship,reference_area_sqm,municipal_area_sqm,area_difference_sqm_owner,area_difference_percent,severity,geometry_similarity,centroid_distance_m,area_difference_sqm_geometry,conflict_type,reason,recommendation,overall_status
P0112,M-8111,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0113,M-8112,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0114,M-8113,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0115,M-8114,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0116,M-8115,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0117,M-8116,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0118,M-8117,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0119,M-8118,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0120,M-8119,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0121,M-8120,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0122,M-8121,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0123,M-8122,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0124,M-8123,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0125,M-8124,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0126,M-8125,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0127,M-8126,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0128,M-8127,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0129,M-8128,Vijay More,Vijay More,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0130,M-8129,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0131,M-8130,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0132,M-8131,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0133,M-8132,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0134,M-8133,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0135,M-8134,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0136,M-8135,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0137,M-8136,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0138,M-8137,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0139,M-8138,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0140,M-8139,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0141,M-8140,Vijay More,Vijay More,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0142,M-8141,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0143,M-8142,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0144,M-8143,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0145,M-8144,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0146,M-8145,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0147,M-8146,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0148,M-8147,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0149,M-8148,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0150,M-8149,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0151,M-8150,Vijay More,Vijay More,100.0,LIKELY SAME OWNER,1200.0,1140.0,60.0,5.0,MODERATE,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,REVIEW REQUIRED
P0152,M-8151,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0153,M-8152,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0154,M-8153,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0155,M-8154,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0156,M-8155,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0157,M-8156,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0158,M-8157,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0159,M-8158,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0160,M-8159,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0161,M-8160,Vijay More,Vijay More,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0162,M-8161,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0163,M-8162,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0164,M-8163,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0165,M-8164,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0166,M-8165,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0167,M-8166,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0168,M-8167,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0169,M-8168,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0170,M-8169,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0171,M-8170,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0172,M-8171,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0173,M-8172,Vijay More,Vijay More,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0174,M-8173,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0175,M-8174,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0176,M-8175,Vijay More,Vijay More,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0177,M-8176,Vijay More,Vijay More,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0178,M-8177,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0179,M-8178,Vijay More,Vijay More,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0180,M-8179,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0181,M-8180,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0182,M-8181,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0183,M-8182,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0184,M-8183,Vijay More,Vijay More,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0185,M-8184,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0186,M-8185,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0187,M-8186,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0188,M-8187,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0189,M-8188,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0190,M-8189,Vijay More,Vijay More,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0191,M-8190,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0192,M-8191,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0193,M-8192,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0194,M-8193,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0195,M-8194,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0196,M-8195,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0197,M-8196,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0198,M-8197,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0199,M-8198,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0200,M-8199,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0201,M-8200,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0202,M-8201,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0203,M-8202,Vijay More,Vijay More,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0204,M-8203,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0205,M-8204,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0206,M-8205,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0207,M-8206,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0208,M-8207,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0209,M-8208,Vijay More,Vijay More,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0210,M-8209,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0211,M-8210,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0212,M-8211,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0213,M-8212,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0214,M-8213,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0215,M-8214,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0216,M-8215,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0217,M-8216,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0218,M-8217,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0219,M-8218,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0220,M-8219,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0221,M-8220,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0222,M-8221,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0223,M-8222,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
