parcel_id,municipal_plot_id,cadastral_owner,municipal_owner,owner_similarity,relationship
P0324,M-8323,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0325,M-8324,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0326,M-8325,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0327,M-8326,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0328,M-8327,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0329,M-8328,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0330,M-8329,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0331,M-8330,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0332,M-8331,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0333,M-8332,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0334,M-8333,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0335,M-8334,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0336,M-8335,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0337,M-8336,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0338,M-8337,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0339,M-8338,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0340,M-8339,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0341,M-8340,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0342,M-8341,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0343,M-8342,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0344,M-8343,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0345,M-8344,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0346,M-8345,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0347,M-8346,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0348,M-8347,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0349,M-8348,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0350,M-8349,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0351,M-8350,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0352,M-8351,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0353,M-8352,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0354,M-8353,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0355,M-8354,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0356,M-8355,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0357,M-8356,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0358,M-8357,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0359,M-8358,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0360,M-8359,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0361,M-8360,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0362,M-8361,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0363,M-8362,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0364,M-8363,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0365,M-8364,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0366,M-8365,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0367,M-8366,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0368,M-8367,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0369,M-8368,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0370,M-8369,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0371,M-8370,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0372,M-8371,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0373,M-8372,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0374,M-8373,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0375,M-8374,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0376,M-8375,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0377,M-8376,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0378,M-8377,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0379,M-8378,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0380,M-8379,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0381,M-8380,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0382,M-8381,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0383,M-8382,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0384,M-8383,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0385,M-8384,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0386,M-8385,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0387,M-8386,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0388,M-8387,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0389,M-8388,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0390,M-8389,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0391,M-8390,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0392,M-8391,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0393,M-8392,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0394,M-8393,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0395,M-8394,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0396,M-8395,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0397,M-8396,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0398,M-8397,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0399,M-8398,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0400,M-8399,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0401,M-8400,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0402,M-8401,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0403,M-8402,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0404,M-8403,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0405,M-8404,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0406,M-8405,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0407,M-8406,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0408,M-8407,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0409,M-8408,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0410,M-8409,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0411,M-8410,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0412,M-8411,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0413,M-8412,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0414,M-8413,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0415,M-8414,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0416,M-8415,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0417,M-8416,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0418,M-8417,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0419,M-8418,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0420,M-8419,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0421,M-8420,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0422,M-8421,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0423,M-8422,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0424,M-8423,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0425,M-8424,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0426,M-8425,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0427,M-8426,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0428,M-8427,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0429,M-8428,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0430,M-8429,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0431,M-8430,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0432,M-8431,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0433,M-8432,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0434,M-8433,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0435,M-8434,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0436,M-8435,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0437,M-8436,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0438,M-8437,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0439,M-8438,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0440,M-8439,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0441,M-8440,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0442,M-8441,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0443,M-8442,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0444,M-8443,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0445,M-8444,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0446,M-8445,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0447,M-8446,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0448,M-8447,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0449,M-8448,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0450,M-8449,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0451,M-8450,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0452,M-8451,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0453,M-8452,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0454,M-8453,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0455,M-8454,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0456,M-8455,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0457,M-8456,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0458,M-8457,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0459,M-8458,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0460,M-8459,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0461,M-8460,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0462,M-8461,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0463,M-8462,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0464,M-8463,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0465,M-8464,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0466,M-8465,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0467,M-8466,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0468,M-8467,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0469,M-8468,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0470,M-8469,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0471,M-8470,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0472,M-8471,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0473,M-8472,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0474,M-8473,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0475,M-8474,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0476,M-8475,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0477,M-8476,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0478,M-8477,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0479,M-8478,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0480,M-8479,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0481,M-8480,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0482,M-8481,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0483,M-8482,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0484,M-8483,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0485,M-8484,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0486,M-8485,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0487,M-8486,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0488,M-8487,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0489,M-8488,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0490,M-8489,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0491,M-8490,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0492,M-8491,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0493,M-8492,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0494,M-8493,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0495,M-8494,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0496,M-8495,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0497,M-8496,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0498,M-8497,Rohit Kulkarni,Rohit Kulkarni,100.0,LIKELY SAME OWNER
P0499,M-8498,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0500,M-8499,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
